0.26214	0.06796	0.05825	0.09709	0.51456
0.16667	0.07843	0.06863	0.05882	0.62745
0.19524	0.10952	0.09048	0.12857	0.47619
0.32710	0.12150	0.09346	0.09346	0.36449
0.06982	0.04054	0.06306	0.12613	0.70045
0.23237	0.20747	0.19087	0.20747	0.16183
0.20370	0.10185	0.06481	0.30556	0.32407
0.22822	0.19502	0.17427	0.20332	0.19917
0.12500	0.08152	0.11413	0.13587	0.54348
0.19643	0.04464	0.07143	0.17857	0.50893
0.11126	0.04206	0.07191	0.17368	0.60109
0.10508	0.08814	0.15254	0.11525	0.53898
0.10329	0.06573	0.07512	0.10798	0.64789
0.07805	0.10732	0.13659	0.31220	0.36585
0.21027	0.12225	0.11736	0.12469	0.42543
0.25083	0.26998	0.21326	0.11565	0.15028
0.14388	0.15108	0.17266	0.28058	0.25180
0.05128	0.05128	0.10256	0.14530	0.64957
0.00862	0.01724	0.06897	0.10345	0.80172
0.16502	0.07591	0.09241	0.11881	0.54785
0.29434	0.10189	0.08302	0.12453	0.39623
0.42793	0.13964	0.10360	0.10811	0.22072
0.01754	0.02632	0.04386	0.12281	0.78947
0.29019	0.06370	0.07280	0.10819	0.46512
0.08439	0.09705	0.07595	0.16456	0.57806
0.45985	0.10949	0.13139	0.19708	0.10219
0.11254	0.05145	0.12219	0.17685	0.53698
0.22989	0.10345	0.08621	0.14368	0.43678
0.04237	0.02542	0.02542	0.11864	0.78814
0.24316	0.13374	0.12158	0.12462	0.37690
0.15582	0.06509	0.04536	0.06312	0.67061
0.08796	0.07407	0.05093	0.10648	0.68056
0.04000	0.02000	0.07000	0.11000	0.76000
0.07071	0.08586	0.11111	0.12121	0.61111
0.11905	0.06349	0.11111	0.14286	0.56349
0.08929	0.00893	0.08929	0.13393	0.67857
0.05469	0.03125	0.07031	0.03906	0.80469
0.02674	0.10160	0.14439	0.24599	0.48128
0.11719	0.10938	0.03906	0.14062	0.59375
0.14410	0.06987	0.07860	0.16157	0.54585
0.16867	0.09036	0.07229	0.10241	0.56627
0.23308	0.19549	0.12782	0.18045	0.26316
0.16964	0.07143	0.06250	0.11607	0.58036
0.24409	0.24409	0.14961	0.12598	0.23622
0.18065	0.10968	0.07742	0.07097	0.56129
0.08099	0.11972	0.17958	0.21831	0.40141
0.14000	0.12400	0.17600	0.22800	0.33200
0.09804	0.08824	0.10784	0.16667	0.53922
0.16667	0.05556	0.11111	0.18590	0.48077
0.02740	0.06164	0.10959	0.16438	0.63699
0.22128	0.05106	0.08936	0.15319	0.48511
0.09449	0.03937	0.07087	0.17323	0.62205
0.09346	0.04673	0.05607	0.16822	0.63551
0.12605	0.11765	0.13445	0.25210	0.36975
0.30347	0.13150	0.10983	0.13584	0.31936
0.01980	0.00000	0.04950	0.12871	0.80198
0.16667	0.05303	0.10606	0.22727	0.44697
0.05405	0.09009	0.05405	0.12613	0.67568
0.10800	0.05607	0.06756	0.08640	0.68199
0.23770	0.07377	0.14754	0.20492	0.33607
0.13077	0.13077	0.07692	0.10769	0.55385
0.43056	0.15278	0.14583	0.11111	0.15972
0.17595	0.18182	0.10850	0.14076	0.39296
0.10078	0.06202	0.08527	0.13953	0.61240
0.24586	0.10221	0.07459	0.16298	0.41436
0.16224	0.06785	0.06195	0.12389	0.58407
0.32000	0.20000	0.09000	0.14000	0.25000
0.05976	0.03785	0.07769	0.17331	0.65139
0.07200	0.12800	0.19200	0.20000	0.40800
0.23529	0.15966	0.15126	0.16387	0.28992
